airport_code,ident,airport_type,name,latitude,longitude,elevation,iata
3209,HKKT,medium_airport,Kitale Airport,0.971988976,34.9585990906,6070,KE
3210,HKLK,medium_airport,Lokichoggio Airport,4.2041201591,34.3482017517,2074,KE
3211,HKLO,medium_airport,Lodwar Airport,3.1219699383,35.6086997986,1715,KE
3212,HKLU,medium_airport,Manda Airstrip,-2.2524199486,40.9131011963,20,KE
3213,HKMO,large_airport,Mombasa Moi International Airport,-4.0348300934,39.5942001343,200,KE
3214,HKNV,small_airport,Naivasha Airport,-0.7879530191,36.4334983826,6380,KE
3215,HKNW,medium_airport,Nairobi Wilson Airport,-1.3217200041,36.8148002625,5536,KE
3216,HKRE,medium_airport,Moi Air Base,-1.2772699594,36.8623008728,5336,KE
3217,HKWJ,medium_airport,Wajir Airport,1.7332400084,40.0915985107,770,KE
3218,HLFL,small_airport,Bu Attifel Airport,28.7954006195,22.0809001923,161,LY
3219,HLGD,medium_airport,Gardabya Airport,31.0634994507,16.5949993134,267,LY
3220,HLGL,small_airport,Warehouse 59e Airport,28.6385002136,21.4379997253,325,LY
3221,HLGT,medium_airport,Ghat Airport,25.1455993652,10.1426000595,2296,LY
3222,HLKF,medium_airport,Kufra Airport,24.1786994934,23.313999176,1367,LY
3223,HLLB,medium_airport,Benina International Airport,32.0968017578,20.2695007324,433,LY
3224,HLLM,medium_airport,Mitiga Airport,32.8941001892,13.2760000229,36,LY
3225,HLLQ,medium_airport,La Abraq Airport,32.7887001038,21.9643001556,2157,LY
3226,HLLS,medium_airport,Sabha Airport,26.9869995117,14.4724998474,1427,LY
3227,HLLT,large_airport,Tripoli International Airport,32.6635017395,13.1590003967,263,LY
3228,HLMB,medium_airport,Marsa Brega Airport,30.3780994415,19.5764007568,50,LY
3229,HLNF,small_airport,Ras Lanuf Oil Airport,30.5,18.5272006989,42,LY
3230,HLON,small_airport,Hon Airport,29.1100997925,15.9656000137,919,LY
3231,HLRA,small_airport,Dahra Airport,29.4726009369,17.9349002838,1050,LY
3232,HLTD,medium_airport,Ghadames East Airport,30.1516990662,9.7153100967,1122,LY
3233,HLZA,small_airport,Zella 74 Airport,28.5898990631,17.2938995361,1085,LY
3234,HLZW,small_airport,Zwara Airport,32.9523010254,12.0155000687,,LY
3236,HRYG,medium_airport,Gisenyi Airport,-1.6771999598,29.2588996887,5082,RW
3237,HRYR,medium_airport,Kigali International Airport,-1.9686299563,30.1394996643,4859,RW
3238,HRZA,medium_airport,Kamembe Airport,-2.4622399807,28.9078998566,5192,RW
3239,HSDN,medium_airport,Dongola Airport,19.1539001465,30.4300994873,772,SD
3240,HSDZ,small_airport,Damazin Airport,11.785900116,34.3367004395,1582,SD
3241,HSFS,medium_airport,El Fasher Airport,13.6148996353,25.3246002197,2393,SD
3242,HSKA,medium_airport,Kassala Airport,15.3874998093,36.3288002014,1671,SD
3243,HSLI,small_airport,Kadugli Airport,11.1379995346,29.7010993958,1848,SD
3244,HSNN,small_airport,Nyala Airport,12.0535001755,24.956199646,2106,SD
3245,HSOB,medium_airport,El Obeid Airport,13.1532001495,30.2327003479,1927,SD
3246,HSPN,medium_airport,Port Sudan New International Airport,19.433599472,37.2341003418,135,SD
3247,HSSJ,medium_airport,Juba Airport,4.872010231,31.6011009216,1513,SS
3248,HSSM,medium_airport,Malakal Airport,9.5589704514,31.6522006989,1291,SS
3249,HSSS,large_airport,Khartoum International Airport,15.5895004272,32.5531997681,1265,SD
3250,HTAR,medium_airport,Arusha Airport,-3.3677899837,36.6333007813,4550,TZ
3251,HTDA,medium_airport,Mwalimu Julius K. Nyerere International Airport,-6.8781099319,39.2025985718,182,TZ
3252,HTDO,medium_airport,Dodoma Airport,-6.170440197,35.7526016235,3673,TZ
3253,HTIR,medium_airport,Iringa Airport,-7.6686301231,35.7521018982,4678,TZ
3254,HTKJ,medium_airport,Kilimanjaro International Airport,-3.4294099808,37.0745010376,2932,TZ
3255,HTLM,medium_airport,Lake Manyara Airport,-3.3763101101,35.8182983398,4150,TZ
3256,HTMT,medium_airport,Mtwara Airport,-10.339099884,40.1818008423,371,TZ
3257,HTMW,medium_airport,Mwanza Airport,-2.4444899559,32.9327011108,3763,TZ
3258,HTPE,medium_airport,Pemba Airport,-5.2572598457,39.8114013672,80,TZ
3259,HTTG,medium_airport,Tanga Airport,-5.0923600197,39.0712013245,129,TZ
3260,HTZA,medium_airport,Zanzibar Airport,-6.2220201492,39.224899292,54,TZ
3262,HUAJ,small_airport,Adjumani Airport,3.3392300606,31.7646999359,2611,UG
3263,HUEN,medium_airport,Entebbe International Airport,0.0423859991,32.4435005188,3782,UG
3264,HUGU,medium_airport,Gulu Airport,2.805560112,32.2718009949,3510,UG
3265,HUSO,medium_airport,Soroti Airport,1.7276899815,33.6227989197,3697,UG
4452,LPMA,medium_airport,Madeira Airport,32.6978988647,-16.7744998932,192,PT
4460,LPPS,medium_airport,Porto Santo Airport,33.0733985901,-16.3500003815,341,PT
4576,HL50,small_airport,Zelten Sw New Airport,28.5870990753,19.3034000397,550,LY
4579,HL53,small_airport,Sidi Salih Airport,32.4948005676,13.2901000977,490,LY
4580,HL54,small_airport,Beni Walid Airport,31.739200592,13.954000473,985,LY
4582,HL56,medium_airport,Matan al-Sarra Air Base,21.6877002716,21.8309001923,1722,LY
4583,HL57,small_airport,Al Wigh Airport,24.1858997345,14.5327997208,1558,LY
4584,HL58,small_airport,Agedabia Airport,30.7651004791,20.191400528,50,LY
4585,HL59,small_airport,Al Khadim Airport,31.998500824,21.1917991638,800,LY
4586,HL60,small_airport,Al Marj Airport,32.5252990723,20.8750991821,950,LY
4588,HL62,small_airport,Zuetina Airport,30.8701992035,20.0755004883,16,LY
